,text,label,stemmed_text,label_angka
0,kunjungan prabowo untuk meresmikan menyerahkan proyek bantuan air bersih lima titik prabowo subianto,Sumber Daya Alam,kunjung prabowo untuk resmi serah proyek bantu air bersih lima titik prabowo subianto,5
1,anies tepuk tangan meriah jadi rektor mewajibkan mata kuliah antikorupsi memutus mata rantai korupsi,Politik,anies tepuk tangan riah jadi rektor wajib mata kuliah antikorupsi putus mata rantai korupsi,0
2,emng bener sih pendukung anies juga pendukung prabowo hnya menurut pak ridwan kamil skemanya terbalik kalau anies mayoritas pendidikan menengah atas artinya juga pendidikan rendah yang milih,Demografi,emng bener sih dukung anies juga dukung prabowo hnya turut pak ridwan kamil skema balik kalau anies mayoritas didik tengah atas arti juga didik rendah yang milih,6
3,sewaktu anies bersikap kritis kinerja pak prabowo dianggap engga sopan dianggap kurang menghormati orang tua giliran sekarang gibran tengil sok kritis malah dianggap kritis keras ini standar ganda,Politik,waktu anies sikap kritis kerja pak prabowo anggap engga sopan anggap kurang hormat orang tua gilir sekarang gibran tengil sok kritis malah anggap kritis keras ini standar ganda,0
4,anies baswedan harap asn termasuk tni polri pegang sumpahnya pemilu,Politik,anies baswedan harap asn masuk tni polri pegang sumpah milu,0
5,duh jangan pak lurah denger acara hajatan rakyat puluhan ribu warga di kendal serukan ganjar presiden kehadiran menjadi magnet puluhan ribu warga datang menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga menjadi bukti jawa tengah tetap menjadi kandang banteng,Politik,duh jangan pak lurah denger acara hajat rakyat puluh ribu warga di kendal seru ganjar presiden hadir jadi magnet puluh ribu warga datang hadir hajat rakyat ganjarmahfud besar antusiasme warga jadi bukti jawa tengah tetap jadi kandang banteng,0
6,prabowo minta kemenhan tim satgas air unhan kaji bantuan air sukabumi dekade08 prabowo gibran,Pertahanan dan Keamanan,prabowo minta kemenhan tim satgas air unhan kaji bantu air sukabumi dekade08 prabowo gibran,3
7,anies allah sibukkanlah orang zalim dapat kejahatan orang zalim lainnya,Politik,anies allah sibuk orang zalim dapat jahat orang zalim lain,0
8,bapak bapa bapa berikan perhatian pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tak di lupakan sama warga papua ingin bapa anies jadi presiden,Politik,bapak bapa bapa ikan perhati didik anak anak papua jadi pintar pintar gera indonesia ajar tak di lupa sama warga papua ingin bapa anies jadi presiden,0
9,bawaslu dimaki jancuk sama warga gara mencopot spanduk ganjar mahfud spanduk capres tidak dicopot bawaslu rasa tim sukses,Politik,bawaslu maki jancuk sama warga gara copot spanduk ganjar mahfud spanduk capres tidak copot bawaslu rasa tim sukses,0
10,beberapa isu basi terkait fakta sebenarnya dilihat beberapa diantaranya anies mengganti pancasila sistem khilafah terkait toleransi berbagai penganut agamaanies blunder soal data rumah ibadah jakarta anies mengkhianati prabowo jadi capres kebenaran fakta atas suatu telah jelas tetap disangkalentah niat jahat nafsu kepentingan pribadibenar seringkali buta bukan mata hati buta,Ideologi,beberapa isu basi kait fakta benar lihat beberapa antara anies ganti pancasila sistem khilafah kait toleransi bagai anut agamaanies blunder soal data rumah ibadah jakarta anies khianat prabowo jadi capres benar fakta atas suatu telah jelas tetap disangkalentah niat jahat nafsu penting pribadibenar seringkali buta bukan mata hati buta,2
11,ganjar pranowomahfud md menekankan pentingnya persiapan kebutuhan dasar alutsista tiga matra darat laut udaraganjar mahfud m3nang,Pertahanan dan Keamanan,ganjar pranowomahfud md tekan penting siap butuh dasar alutsista tiga matra darat laut udaraganjar mahfud m3nang,3
12,calon presiden capres nomor urut 1 anies baswedan siap kemampuannya menghadapi debat ketiga debat ketiga menyangkut tema soal pertahanan keamanan hubungan internasional geopolitik download app store play store,Pertahanan dan Keamanan,calon presiden capres nomor urut 1 anies baswedan siap mampu hadap debat tiga debat tiga sangkut tema soal tahan aman hubung internasional geopolitik download app store play store,3
13,capres ganjar pranowo punya rencana besar bakal bersinergi sama perguruan tinggi buat program membawa perubahan positif,Politik,capres ganjar pranowo punya rencana besar bakal sinergi sama guru tinggi buat program bawa ubah positif,0
14,pendapatan apbd jumbo paling besar seindonesia mencapai rp 77,Ekonomi,dapat apbd jumbo paling besar indonesia capai rp 77,4
15,kenyataan timbul menghancurkan pribadi isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih dukungantulus untuk02 ,Politik,nyata timbul hancur pribadi isi penuh benci ayahbowo adalahkita timbul dampak emosional pilih dukungantulus untuk02,0
16,mas ganjar bawa data ngasih pertanyaan berdasar data saja dijawab pak prabowo bilang data mas ganjar salah karena pak prabowo bilang datanya salah wajar mas ganjar minta ditunjukkan mana data benar ada urusan sama waktu singkat,Politik,mas ganjar bawa data ngasih tanya dasar data saja jawab pak prabowo bilang data mas ganjar salah karena pak prabowo bilang data salah wajar mas ganjar minta tunjuk mana data benar ada urus sama waktu singkat,0
17,trending on twitter x anies bubble meroket fenomena fans kpop join amin isme,Sosial Budaya,trending on twitter x anies bubble roket fenomena fans kpop join amin isme,1
18,wait wait pak bukti pak anies gunakan politik identitas bukankah justru ahok terang terangan bahkan pilkada sudah memantik perselisihan misal gunakan password wifi kata kafir berpikir adil memang sulit pak,Politik,wait wait pak bukti pak anies guna politik identitas bukankah justru ahok terang terang bahkan pilkada sudah mantik selisih misal guna password wifi kata kafir pikir adil memang sulit pak,0
19,siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh mendapat kejutan penyandang tuna rungu simpatisan ganjarmahfud hari tuna rungu nasional 2024 atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia bagian depan tak diberikan kejutan atikoh diajarkan bahasa isyarat,Politik,siti atikoh unjung kantor tpd ganjarmahfud sumatera selatan atikoh dapat kejut sandang tuna rungu simpatisan ganjarmahfud hari tuna rungu nasional 2024 atikoh beri kejut upa kaos warna merah tulis ibu negara indonesia bagi depan tak beri kejut atikoh ajar bahasa isyarat,0
20,bapak anies mengangkat martabat petani tidak terus menerus menerima bansos penghasilannya cukup,Sosial Budaya,bapak anies angkat martabat tani tidak terus terus terima bansos hasil cukup,1
21,calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami semua pihak,Politik,calon presiden ri ganjar pranowo yakin sama mahfud md regulasi hukum investasi bakal lebih mudah paham semua pihak,0
22,pak michael gaya bicara keras terkesan emosional tetap berisi usah jangan berarti prabowo sudah menggunakan kekerasan militer orang sifatnya pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik,pak michael gaya bicara keras kes emosional tetap isi usah jangan arti prabowo sudah guna keras militer orang sifat pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,0
23,paslon ganjar ganjar pranowo yakin bersama mahfud md regulasi hukum investor indonesia bakal lebih bersahabat terukur,Politik,paslon ganjar ganjar pranowo yakin sama mahfud md regulasi hukum investor indonesia bakal lebih sahabat ukur,0
24,anies sosok ayah penuh kehangatan pak memang sosok ayah penuh kehangatan lihat tayangan video tangannya lentur banget menggendong anak kecil tampak luwes kaku tidak buatbuat anakanaknya sering merasakan gendongan pelukan pelukan beliau kekuatan sejati ketenangan pelukan ayah,Pertahanan dan Keamanan,anies sosok ayah penuh hangat pak memang sosok ayah penuh hangat lihat tayang video tangan lentur banget gendong anak kecil tampak luwes kaku tidak buatbuat anakanaknya sering rasa gendong peluk peluk beliau kuat sejati tenang peluk ayah,3
25,capres ganjar pranowo mainmain kolaborasi perguruan tinggi buat program edukatif oke punya,Politik,capres ganjar pranowo mainmain kolaborasi guru tinggi buat program edukatif oke punya,0
26,projo kawal prabowo gibran menang sekali putaran,Politik,projo kawal prabowo gibran menang sekali putar,0
27,tempodotco semangat pak akan selalu m3nddukung mu ganjar mahfud hebat,Politik,tempodotco semangat pak akan selalu m3nddukung mu ganjar mahfud hebat,0
28,anies sesuai selera masyarakat sumatera barat,Sosial Budaya,anies sesuai selera masyarakat sumatera barat,1
29,bapak anies baswedan amp ibu fery farhati tiba pekanbaru kampanye akbar kedua hari,Politik,bapak anies baswedan amp ibu fery farhati tiba pekanbaru kampanye akbar dua hari,0
30,atikoh beberkan solusi ganjarmahfud atasi harga pangan naik,Politik,atikoh kan solusi ganjarmahfud atas harga pangan naik,0
31,giliran buruh soloraya deklarasi dukung prabowo gibran soloraya,Politik,gilir buruh soloraya deklarasi dukung prabowo gibran soloraya,0
32,capres cawapres ganjar pranowo mahfud md mengajak semua pihak bersatu menjaga konstitusi aturan dasar negara,Ideologi,capres cawapres ganjar pranowo mahfud md ajak semua pihak satu jaga konstitusi atur dasar negara,2
33,raja dangdut pak haji rhoma irama bertanya seni film pak anies terpilih jadi presiden desak anies amp slepet imin jiexpo kemayoran jakarta pusat hari senin 29 januari 2024,Politik,raja dangdut pak haji rhoma irama tanya seni film pak anies pilih jadi presiden desak anies amp slepet imin jiexpo mayor jakarta pusat hari senin 29 januari 2024,0
34,capres ganjar pranowo memberikan ruang masyarakat memberikan masukan saran evaluasi pasal karet uu ite,Politik,capres ganjar pranowo beri ruang masyarakat beri masuk saran evaluasi pasal karet uu ite,0
35,musuh utama gen z anies bertekad basmi praktik ordal penerimaan tenaga kerja sektor swasta amp pemerintahan penegakan aturan,Politik,musuh utama gen z anies tekad basmi praktik ordal terima tenaga kerja sektor swasta amp perintah tega atur,0
36,debat caprescawapres ke3 anies menyatakan nilai kemenhan melaksanakan kebijakan nilainya 11 100 jadi menteri tidak layak paslon anies,Politik,debat caprescawapres ke3 anies nyata nilai kemenhan laksana bijak nilai 11 100 jadi menteri tidak layak paslon anies,0
37,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 koprasi umkm jadi andalan bisnis lokal sukses terus temantemanjn18a,Ekonomi,pasang duet capres cawapres ganjar pranowo mahfud md motor ubah kredit 35 koprasi umkm jadi andal bisnis lokal sukses terus temantemanjn18a,4
